Original Header:
Sensor Name: MAX30100
Cow ID: 129
I2CAddress: 0x57
Sampling frequency: 25 Hz
Data Format: 
	IR_0, RED_0, T_0, t0
	IR_1, RED_1, T_1, t1
	...
	...
	...
	IR_n, RED_n, T_n, tn
	Where IR is the MAX30100's infared count expressed as an unsigned short. (16-bit) RED is the MAX30100's RED count expressed as an unsigned short. T is the MAX30100's temperature expressed as a 32-bit float. The value is in degrees C. t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of this 3 value plus a timestamp, sequentially written to file. 
!@#

CSV Header:
The time is in seconds, subtracting off the startTime.
!@#
7280, 8216, 26.2, 11.952759
7248, 8204, 26.2, 11.992676
7288, 8224, 26.2, 12.032837
7244, 8184, 26.2, 12.073059
7288, 8228, 26.2, 12.112671
7268, 8212, 26.2, 12.152832
7280, 8240, 26.2, 12.192718
7252, 8188, 26.2, 12.233001
7228, 8168, 26.2, 12.272766
7360, 8332, 26.2, 12.312957
7212, 8132, 26.7, 12.358307
7316, 8260, 26.7, 12.393280
7256, 8192, 26.7, 12.432922
7228, 8144, 26.7, 12.472870
7340, 8296, 26.7, 12.513092
7220, 8176, 26.7, 12.552765
7264, 8184, 26.7, 12.592804
7312, 8268, 26.7, 12.632782
7224, 8164, 26.7, 12.672912
7300, 8228, 26.7, 12.712768
7284, 8208, 26.7, 12.752929
7216, 8176, 26.7, 12.792724
7308, 8228, 26.7, 12.832702
7248, 8200, 26.7, 12.872741
7276, 8228, 26.7, 12.912811
7244, 8168, 26.7, 12.952759
7256, 8208, 26.7, 12.992676
7244, 8176, 26.7, 13.032928
7328, 8256, 26.7, 13.072845
7204, 8152, 26.7, 13.112701
7328, 8252, 26.7, 13.153106
7260, 8204, 26.7, 13.192718
7252, 8180, 26.7, 13.232696
7296, 8220, 26.7, 13.272796
7260, 8204, 26.7, 13.312744
7268, 8208, 26.6, 13.358429
7284, 8220, 26.6, 13.393463
7272, 8204, 26.6, 13.432739
7252, 8200, 26.6, 13.473114
7280, 8236, 26.6, 13.512817
7260, 8208, 26.6, 13.552765
7268, 8200, 26.6, 13.592926
7296, 8240, 26.6, 13.632782
7256, 8204, 26.6, 13.672760
7244, 8184, 26.6, 13.712738
7264, 8172, 26.6, 13.752746
7356, 8292, 26.6, 13.792785
7208, 8132, 26.6, 13.832733
7300, 8220, 26.6, 13.872772
7264, 8212, 26.6, 13.912780
7228, 8164, 26.6, 13.953247
7328, 8260, 26.6, 14.250213
7240, 8180, 26.6, 14.281341
7248, 8180, 26.6, 14.319977
7304, 8244, 26.6, 14.360107
7244, 8184, 26.6, 14.400055
7284, 8224, 26.6, 14.440063
7256, 8216, 26.6, 14.480072
7240, 8188, 26.6, 14.520050
