Original Header:

Name: AdcIn_Ch5
This is using channel 5 on the onboard ADC.
The first value is a voltage in mV, and the second value is a time in seconds from epoch.
!@#

CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
!@#
0.075, 9.809754
0.068, 9.826416
0.070, 9.843476
0.068, 9.859681
0.080, 9.876526
0.075, 9.893219
0.068, 9.909638
0.046, 9.926453
0.061, 9.943116
0.068, 9.959687
0.063, 9.976136
0.073, 9.993317
0.073, 10.009552
0.063, 10.026459
0.065, 10.043183
0.063, 10.059662
0.075, 10.076508
0.073, 10.093140
0.068, 10.109589
0.085, 10.126343
0.065, 10.143189
0.073, 10.159729
0.063, 10.186371
0.068, 10.194062
0.073, 10.210602
0.073, 10.226563
0.065, 10.243134
0.048, 10.259705
0.068, 10.276368
0.073, 10.293335
0.070, 10.309632
0.083, 10.326447
0.078, 10.343201
0.073, 10.359559
0.075, 10.376496
0.075, 10.393403
0.083, 10.409851
0.061, 10.426392
0.063, 10.443360
0.065, 10.459809
0.083, 10.476471
0.063, 10.493195
0.061, 10.509736
0.095, 10.526551
0.070, 10.543213
0.075, 10.559601
0.068, 10.576386
0.061, 10.593171
0.073, 10.609681
0.065, 10.626252
0.075, 10.643189
0.070, 10.659699
0.075, 10.676423
0.073, 10.693268
0.063, 10.709717
0.083, 10.726502
0.068, 10.743226
0.070, 10.759613
0.065, 10.776459
0.065, 10.793183
0.073, 10.809601
0.061, 10.826355
0.065, 10.843445
0.070, 10.859681
0.080, 10.876343
0.070, 10.893128
0.068, 10.909760
0.080, 10.926514
0.068, 10.943146
0.068, 10.959717
0.070, 10.976258
0.073, 10.993317
0.078, 11.009705
0.070, 11.026368
0.068, 11.043305
0.068, 11.059754
0.078, 11.076539
0.065, 11.093110
0.068, 11.109711
0.048, 11.126435
0.068, 11.143158
0.073, 11.159607
0.063, 11.176331
0.061, 11.193177
0.070, 11.209656
0.061, 11.226258
0.068, 11.243256
0.065, 11.259736
0.063, 11.276398
0.073, 11.293244
0.065, 11.309662
0.080, 11.326447
0.080, 11.343171
0.075, 11.359711
0.070, 11.376313
0.065, 11.393067
0.056, 11.409851
0.065, 11.426453
0.070, 11.443482
0.065, 11.459687
0.068, 11.476563
0.070, 11.493927
0.058, 11.509766
0.080, 11.526520
0.065, 11.543122
0.078, 11.559662
0.070, 11.576325
0.068, 11.593171
0.073, 11.609742
0.068, 11.626435
0.065, 11.643219
0.070, 11.659638
0.080, 11.676484
0.065, 11.693146
0.061, 11.709656
0.058, 11.726441
0.063, 11.743226
0.073, 11.759797
0.075, 11.776307
0.073, 11.793335
0.073, 11.809723
0.070, 11.826325
0.070, 11.843140
0.068, 11.859650
0.085, 11.876496
0.068, 11.893341
0.070, 11.909729
0.056, 11.926423
0.061, 11.943146
0.073, 11.959565
0.070, 11.976319
0.061, 11.993256
0.073, 12.009522
0.068, 12.026276
0.068, 12.043183
0.065, 12.059754
0.073, 12.076355
0.070, 12.093171
0.068, 12.109772
0.085, 12.126435
0.068, 12.143219
0.073, 12.159638
0.065, 12.176148
0.063, 12.193207
0.075, 12.209900
0.065, 12.226441
0.073, 12.243348
0.068, 12.259644
0.061, 12.276246
0.070, 12.293335
0.065, 12.309723
0.053, 12.326447
0.070, 12.343293
0.073, 12.359650
0.073, 12.376313
0.070, 12.393280
0.075, 12.409760
0.061, 12.426484
0.068, 12.443451
0.065, 12.459626
0.075, 12.476532
0.075, 12.493134
0.065, 12.509644
0.075, 12.526368
0.068, 12.543244
0.078, 12.559540
0.065, 12.576355
0.070, 12.593323
0.058, 12.609681
0.068, 12.626252
0.075, 12.643403
0.073, 12.659546
0.065, 12.676545
0.078, 12.693177
0.065, 12.709748
0.075, 12.726380
0.065, 12.743226
0.070, 12.759705
0.073, 12.776429
0.065, 12.793366
0.078, 12.809662
0.063, 12.826264
0.075, 12.843232
0.063, 12.859681
0.068, 12.876343
0.080, 12.893158
0.065, 12.909668
0.056, 12.926484
0.073, 12.943177
0.070, 12.959687
0.070, 12.976471
0.070, 12.993256
0.053, 13.009797
0.070, 13.026368
0.070, 13.043213
0.065, 13.059784
0.073, 13.076508
0.075, 13.093262
0.065, 13.109742
0.078, 13.126496
0.068, 13.143219
0.073, 13.159851
0.073, 13.176117
0.073, 13.193360
0.075, 13.209687
0.065, 13.226227
0.073, 13.243195
0.068, 13.259583
0.068, 13.276276
0.075, 13.293091
0.065, 13.309693
0.068, 13.326386
0.073, 13.343171
0.083, 13.359650
0.070, 13.376374
0.068, 13.393311
0.073, 13.409821
0.068, 13.426423
0.075, 13.443543
0.068, 13.459656
0.073, 13.476502
0.065, 13.493195
0.068, 13.509766
0.070, 13.526398
0.068, 13.543122
0.078, 13.559632
0.073, 13.576386
0.065, 13.593201
0.075, 13.609620
0.063, 13.626435
0.065, 13.643311
0.065, 13.659821
0.070, 13.676545
0.070, 13.693238
0.068, 13.709778
0.075, 13.726349
0.070, 13.743164
0.078, 13.759552
0.065, 13.776307
0.070, 13.793366
0.051, 13.809845
0.061, 13.826264
0.063, 13.843262
0.063, 13.859742
0.075, 13.876496
0.073, 13.893311
0.068, 13.909699
0.046, 13.926453
0.068, 13.943299
0.073, 13.959595
0.065, 13.976349
0.070, 13.993317
0.068, 14.009766
0.061, 14.026490
0.073, 14.043213
0.058, 14.059754
0.085, 14.076447
0.075, 14.093293
0.070, 14.109772
0.078, 14.126404
0.061, 14.143158
0.075, 14.159546
0.073, 14.176423
0.068, 14.193299
0.068, 14.209534
0.063, 14.226441
0.075, 14.243409
0.070, 14.259674
0.073, 14.276520
0.083, 14.293152
0.063, 14.309662
0.078, 14.326508
0.063, 14.343110
0.075, 14.359559
0.075, 14.376313
0.070, 14.393250
0.075, 14.409790
0.070, 14.426453
0.073, 14.443543
0.070, 14.459565
0.080, 14.476502
0.070, 14.493164
0.061, 14.509674
0.085, 14.526459
0.061, 14.543335
0.073, 14.559632
0.078, 14.576264
0.063, 14.593171
0.068, 14.609681
0.061, 14.626435
0.065, 14.643158
0.068, 14.659546
0.068, 14.676453
0.065, 14.693360
