Original Header:


CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
0.073, 1.240265
0.063, 1.243317
0.061, 1.245209
0.063, 1.246796
0.068, 1.248352
0.065, 1.249878
0.070, 1.254151
0.075, 1.256806
0.056, 1.259125
0.083, 1.262116
0.063, 1.264435
0.056, 1.267029
0.063, 1.270477
0.080, 1.274017
0.070, 1.275971
0.070, 1.277588
0.068, 1.279144
0.058, 1.280701
0.068, 1.282227
0.065, 1.283722
0.061, 1.285492
0.068, 1.287048
0.065, 1.288605
0.068, 1.290192
0.068, 1.293976
0.083, 1.296570
0.058, 1.298920
0.080, 1.301911
0.061, 1.304291
0.056, 1.306824
0.053, 1.309906
0.078, 1.314148
0.065, 1.318054
0.065, 1.319733
0.068, 1.321289
0.068, 1.322815
0.070, 1.324371
0.068, 1.326141
0.065, 1.327728
0.063, 1.329254
0.061, 1.330780
0.078, 1.334931
0.078, 1.337341
0.056, 1.339661
0.080, 1.342621
0.090, 1.345215
0.043, 1.347534
0.058, 1.351502
0.068, 1.354462
0.070, 1.356445
0.063, 1.358032
0.070, 1.359589
0.065, 1.361145
0.068, 1.362671
0.063, 1.364166
0.068, 1.367310
0.065, 1.369019
0.068, 1.370606
0.073, 1.374115
0.046, 1.377747
0.041, 1.380127
0.085, 1.383270
0.078, 1.385864
0.073, 1.388184
0.041, 1.392243
0.075, 1.395538
0.063, 1.397247
0.065, 1.398834
0.068, 1.400391
0.068, 1.401978
0.068, 1.403534
0.070, 1.405335
0.063, 1.406952
0.058, 1.408508
0.068, 1.410004
0.063, 1.412232
0.070, 1.415863
0.080, 1.417786
0.058, 1.420044
0.080, 1.422943
0.078, 1.425537
0.075, 1.427887
0.058, 1.431458
0.073, 1.435089
0.063, 1.436798
0.068, 1.438385
0.068, 1.440094
0.065, 1.441681
0.068, 1.443207
0.068, 1.444977
0.063, 1.446533
0.068, 1.448059
0.058, 1.449616
0.065, 1.453461
0.061, 1.456238
0.070, 1.458466
0.073, 1.460236
0.051, 1.463226
0.053, 1.465943
0.048, 1.468231
0.073, 1.472168
0.070, 1.475403
0.058, 1.477081
0.061, 1.478668
0.063, 1.480194
0.065, 1.481720
0.061, 1.483246
0.070, 1.485047
0.065, 1.486633
0.065, 1.488190
0.065, 1.489716
0.068, 1.495300
0.073, 1.497742
0.075, 1.500122
0.085, 1.502930
0.048, 1.505493
0.041, 1.507904
0.073, 1.510925
0.073, 1.513794
0.063, 1.516876
0.061, 1.518524
0.061, 1.520111
0.061, 1.521668
0.068, 1.523193
0.063, 1.524964
0.065, 1.526550
0.070, 1.528107
0.061, 1.529633
0.065, 1.532990
0.051, 1.536926
0.043, 1.540192
0.070, 1.542572
0.056, 1.545166
0.078, 1.548187
0.080, 1.550537
0.056, 1.552857
0.061, 1.556214
0.075, 1.560059
0.065, 1.561768
0.063, 1.563355
0.068, 1.565155
0.070, 1.566773
0.070, 1.568329
0.063, 1.569855
0.068, 1.572113
0.070, 1.575256
0.046, 1.577667
0.073, 1.579987
0.078, 1.582977
0.051, 1.585510
0.048, 1.587891
0.056, 1.591858
0.080, 1.594940
0.063, 1.598663
0.068, 1.600342
0.058, 1.601929
0.068, 1.603455
0.065, 1.605225
0.058, 1.606812
0.058, 1.608338
0.070, 1.609894
0.068, 1.611420
0.070, 1.615235
0.058, 1.619690
0.075, 1.622742
0.058, 1.625336
0.087, 1.627716
0.065, 1.630798
0.048, 1.633911
0.073, 1.636627
0.070, 1.638275
0.065, 1.639832
0.070, 1.641388
0.070, 1.642883
0.061, 1.644409
0.065, 1.646149
0.065, 1.647736
0.073, 1.649262
0.065, 1.650787
0.068, 1.654205
0.075, 1.656769
0.051, 1.659149
0.053, 1.662048
0.058, 1.664337
0.046, 1.666992
0.080, 1.670441
0.075, 1.674011
0.068, 1.675934
0.061, 1.677551
0.061, 1.679138
0.070, 1.680634
0.058, 1.682221
0.065, 1.683716
0.061, 1.685486
0.068, 1.687042
0.058, 1.688568
0.061, 1.690094
0.061, 1.693634
0.080, 1.696472
0.083, 1.698700
0.080, 1.701599
0.051, 1.704010
0.080, 1.706574
0.061, 1.709961
0.078, 1.712921
0.070, 1.716065
0.063, 1.717743
0.068, 1.719299
0.070, 1.720856
0.061, 1.722382
0.073, 1.723908
0.063, 1.725647
0.065, 1.727234
0.061, 1.728760
0.068, 1.730286
0.063, 1.733948
0.073, 1.736572
0.085, 1.738983
0.080, 1.743378
0.080, 1.746094
0.078, 1.748474
0.046, 1.751892
0.083, 1.755646
0.061, 1.757385
0.070, 1.758972
0.061, 1.760498
0.065, 1.762055
0.068, 1.763580
0.061, 1.765320
0.065, 1.766876
0.063, 1.768402
0.065, 1.769928
0.070, 1.774079
0.070, 1.776673
0.056, 1.779053
0.075, 1.782013
0.053, 1.784363
0.048, 1.786957
0.070, 1.790039
0.078, 1.793854
0.070, 1.795868
0.068, 1.797485
0.061, 1.799072
0.061, 1.800629
0.065, 1.802155
0.065, 1.803681
0.070, 1.805420
0.063, 1.807007
0.065, 1.808533
0.068, 1.810059
0.065, 1.813690
0.080, 1.816528
0.056, 1.818787
0.056, 1.821747
0.056, 1.824158
0.075, 1.826782
0.056, 1.829712
0.068, 1.832642
0.068, 1.835755
0.068, 1.837402
0.065, 1.838959
0.061, 1.840515
0.070, 1.842041
0.073, 1.843567
0.068, 1.845337
0.065, 1.846893
0.063, 1.848419
0.058, 1.849945
0.061, 1.852142
0.039, 1.855286
0.053, 1.858277
0.048, 1.860047
0.065, 1.863007
0.090, 1.865601
0.065, 1.870789
0.073, 1.874909
0.070, 1.876648
0.065, 1.878235
0.068, 1.879822
0.063, 1.881378
0.073, 1.882904
0.065, 1.884400
0.058, 1.886170
0.065, 1.887726
0.073, 1.889252
0.061, 1.892029
0.073, 1.895355
0.046, 1.898285
0.046, 1.900055
0.051, 1.903046
0.087, 1.905640
0.058, 1.907959
0.061, 1.911377
0.083, 1.915131
0.068, 1.916809
0.061, 1.918427
0.058, 1.919983
0.068, 1.921509
0.063, 1.923035
0.068, 1.924561
0.070, 1.926392
0.063, 1.927918
0.065, 1.929474
0.070, 1.932007
0.070, 1.935181
0.073, 1.937561
0.070, 1.939911
0.075, 1.942902
0.078, 1.945435
0.073, 1.947785
0.078, 1.951721
0.070, 1.954926
0.063, 1.956635
0.065, 1.958222
0.061, 1.959778
0.065, 1.961304
0.065, 1.962799
0.065, 1.964325
0.068, 1.966065
0.063, 1.967621
0.070, 1.969177
0.063, 1.970703
0.065, 1.974182
0.068, 1.976746
0.063, 1.979126
0.073, 1.982086
0.053, 1.984467
0.051, 1.987030
0.058, 1.990143
0.046, 1.995697
0.068, 1.997498
0.073, 1.999115
0.068, 2.000702
0.065, 2.002228
0.065, 2.003754
0.068, 2.005524
0.061, 2.007111
0.068, 2.008637
0.068, 2.010162
0.068, 2.014069
0.078, 2.016754
0.080, 2.019074
0.075, 2.022034
0.056, 2.024262
0.073, 2.026917
0.070, 2.029907
0.073, 2.032837
0.078, 2.035919
0.068, 2.037598
0.068, 2.039185
0.061, 2.040711
0.063, 2.042236
0.065, 2.043762
0.063, 2.045532
0.063, 2.047119
0.065, 2.048615
0.065, 2.050171
0.063, 2.054047
0.068, 2.056671
0.090, 2.059021
0.078, 2.062012
0.051, 2.064240
0.058, 2.066986
0.063, 2.070343
0.087, 2.073853
0.073, 2.075775
0.063, 2.077393
0.070, 2.078949
0.063, 2.080506
0.061, 2.082062
0.070, 2.083557
0.068, 2.085358
0.063, 2.086914
0.070, 2.088471
0.061, 2.089966
0.068, 2.093720
0.073, 2.096558
0.075, 2.099030
0.070, 2.101837
0.046, 2.104248
0.053, 2.106232
0.085, 2.108582
0.068, 2.112702
0.078, 2.117127
0.065, 2.118866
0.063, 2.120514
0.068, 2.122070
0.068, 2.123596
0.068, 2.125336
0.061, 2.126923
0.063, 2.128449
0.068, 2.129975
0.063, 2.132263
0.051, 2.135986
0.053, 2.137787
0.083, 2.140076
0.041, 2.143097
0.056, 2.145630
0.053, 2.147949
0.085, 2.151459
0.070, 2.155182
0.068, 2.156860
0.070, 2.158478
0.065, 2.160004
0.068, 2.161560
0.070, 2.163056
0.061, 2.164826
0.061, 2.166412
0.058, 2.167938
0.068, 2.169464
0.058, 2.172211
0.051, 2.175964
0.053, 2.177796
0.046, 2.180115
0.070, 2.183106
0.080, 2.185669
0.085, 2.188019
0.061, 2.191925
0.078, 2.195160
0.068, 2.196839
0.073, 2.198517
0.068, 2.200104
0.065, 2.201660
0.068, 2.203186
0.068, 2.204956
0.065, 2.206513
0.063, 2.208069
0.063, 2.209595
0.065, 2.213410
0.053, 2.216126
0.078, 2.218506
0.068, 2.221619
0.053, 2.223908
0.078, 2.226654
0.092, 2.229736
0.078, 2.232391
0.075, 2.235504
0.063, 2.237152
0.068, 2.238709
0.063, 2.240235
0.061, 2.243286
0.065, 2.245178
0.058, 2.246796
0.070, 2.248352
0.061, 2.249878
0.061, 2.252075
0.073, 2.255249
0.080, 2.257599
0.058, 2.259918
0.058, 2.262940
0.075, 2.265503
0.075, 2.267883
0.080, 2.271332
0.078, 2.275086
0.073, 2.276795
0.061, 2.278381
0.063, 2.279938
0.065, 2.281494
0.068, 2.283051
0.065, 2.284577
0.070, 2.286408
0.063, 2.287933
0.070, 2.289459
0.070, 2.292145
0.078, 2.295258
0.051, 2.297669
0.070, 2.300049
0.068, 2.302979
0.065, 2.305512
0.085, 2.307861
0.068, 2.311402
0.078, 2.316437
0.063, 2.319000
0.065, 2.320618
0.063, 2.322205
0.063, 2.323731
0.063, 2.325501
0.065, 2.327088
0.068, 2.328613
0.068, 2.330109
0.061, 2.334198
0.046, 2.336792
0.056, 2.339173
0.063, 2.342163
0.085, 2.344513
0.043, 2.347107
0.051, 2.350678
0.073, 2.354065
0.075, 2.356049
0.068, 2.357666
0.063, 2.359192
0.070, 2.360748
0.068, 2.362305
0.073, 2.363800
0.065, 2.365540
0.063, 2.368714
0.063, 2.370300
0.068, 2.374115
0.070, 2.376892
0.053, 2.379273
0.061, 2.382233
0.080, 2.384857
0.083, 2.387238
0.058, 2.390778
0.070, 2.394196
0.070, 2.396088
0.070, 2.397705
0.063, 2.399292
0.065, 2.400879
0.065, 2.402435
0.068, 2.403961
0.068, 2.405701
0.063, 2.407257
0.065, 2.408814
0.065, 2.410339
0.068, 2.414032
0.041, 2.416657
0.048, 2.419006
0.056, 2.421997
0.056, 2.424347
0.058, 2.426911
0.053, 2.429993
0.073, 2.432709
0.078, 2.435791
0.070, 2.437409
0.061, 2.438995
0.061, 2.440552
0.068, 2.442078
0.065, 2.443604
0.061, 2.445343
0.065, 2.446900
0.065, 2.448425
0.068, 2.449951
0.068, 2.454071
0.051, 2.456665
0.051, 2.459046
0.053, 2.461975
0.075, 2.464325
0.085, 2.466950
0.058, 2.470032
0.078, 2.473877
0.068, 2.475830
0.068, 2.477448
0.061, 2.479035
0.061, 2.480591
0.065, 2.482117
0.063, 2.483612
0.065, 2.485352
0.070, 2.486908
0.063, 2.488464
0.065, 2.489990
0.065, 2.495087
0.070, 2.497528
0.056, 2.499878
0.048, 2.502930
0.092, 2.505493
0.073, 2.507843
0.078, 2.511383
0.078, 2.515015
0.063, 2.516724
0.065, 2.518311
0.063, 2.519867
0.068, 2.521362
0.065, 2.522888
0.065, 2.524384
0.073, 2.526154
0.061, 2.527741
0.065, 2.529266
0.063, 2.532105
0.043, 2.536377
0.075, 2.539917
0.080, 2.542236
0.053, 2.544556
0.065, 2.547821
0.075, 2.550171
0.073, 2.552429
0.068, 2.556519
0.075, 2.559540
0.065, 2.561218
0.068, 2.562805
0.063, 2.564331
0.063, 2.566132
0.065, 2.567719
0.065, 2.569245
0.068, 2.570770
0.068, 2.574188
0.078, 2.576782
0.061, 2.579132
0.073, 2.582092
0.058, 2.584442
0.056, 2.587006
0.053, 2.590058
0.075, 2.592743
0.053, 2.596039
0.061, 2.598908
0.068, 2.600556
0.061, 2.602112
0.061, 2.603760
0.065, 2.605560
0.065, 2.607147
0.063, 2.608673
0.063, 2.610199
0.068, 2.612396
0.075, 2.615601
0.053, 2.619904
0.068, 2.622925
0.083, 2.625427
0.078, 2.627838
0.065, 2.631256
0.073, 2.635040
0.065, 2.636749
0.070, 2.638397
0.063, 2.639954
0.061, 2.641510
0.065, 2.643036
0.070, 2.644562
0.061, 2.646362
0.061, 2.647919
0.065, 2.649475
0.061, 2.651062
0.075, 2.654938
0.083, 2.657318
0.058, 2.659607
0.056, 2.662598
0.078, 2.665131
0.085, 2.667481
0.073, 2.671021
0.068, 2.674408
0.070, 2.676361
0.065, 2.677979
0.063, 2.679535
0.065, 2.681061
0.063, 2.682556
0.070, 2.684113
0.061, 2.685883
0.058, 2.687409
0.061, 2.688934
0.061, 2.690460
0.068, 2.693939
0.080, 2.696503
0.078, 2.698853
0.070, 2.701660
0.058, 2.704132
0.073, 2.706757
0.053, 2.710175
0.070, 2.713135
0.078, 2.716309
0.065, 2.717957
0.061, 2.719544
0.068, 2.721069
0.068, 2.722595
0.065, 2.724091
0.068, 2.725861
0.068, 2.727417
0.068, 2.728974
0.065, 2.730499
0.061, 2.733978
0.056, 2.736572
0.080, 2.738953
0.051, 2.743347
0.090, 2.746094
0.056, 2.748474
0.061, 2.751557
0.080, 2.754242
0.073, 2.757355
0.073, 2.759003
0.061, 2.760559
0.070, 2.762116
0.065, 2.763672
0.070, 2.765473
0.065, 2.767059
0.065, 2.768585
0.068, 2.770081
0.061, 2.773438
0.080, 2.776276
0.073, 2.778504
0.085, 2.781494
0.078, 2.783905
0.075, 2.786499
0.078, 2.789490
0.078, 2.792389
0.083, 2.795532
0.068, 2.797180
0.070, 2.798798
0.063, 2.800354
0.065, 2.801880
0.070, 2.803406
0.065, 2.805176
0.061, 2.806763
0.061, 2.808319
0.070, 2.809845
0.068, 2.812042
0.036, 2.815186
0.075, 2.817597
0.056, 2.820068
0.080, 2.823059
0.092, 2.825623
0.080, 2.827973
0.046, 2.831360
0.085, 2.835205
0.073, 2.836945
0.063, 2.838532
0.068, 2.840088
0.063, 2.841644
0.063, 2.843170
0.070, 2.844940
0.073, 2.846497
0.065, 2.848053
0.061, 2.849579
0.068, 2.851105
0.048, 2.854889
0.048, 2.857208
0.053, 2.859497
0.058, 2.862488
0.083, 2.865082
0.061, 2.870789
0.075, 2.873535
0.075, 2.876709
0.061, 2.878357
0.065, 2.879944
0.061, 2.881500
0.063, 2.882996
0.061, 2.884522
0.063, 2.886353
0.068, 2.887909
0.061, 2.889465
0.063, 2.890991
0.061, 2.894470
0.068, 2.897125
0.083, 2.899445
0.048, 2.902466
0.061, 2.905060
0.073, 2.907501
0.065, 2.910584
0.075, 2.913696
0.065, 2.916596
0.070, 2.918274
0.068, 2.919830
0.063, 2.921356
0.068, 2.922913
0.068, 2.924439
0.070, 2.926270
0.058, 2.927826
0.061, 2.929352
0.058, 2.930878
0.063, 2.934357
0.065, 2.936920
0.048, 2.939301
0.083, 2.942261
0.058, 2.944855
0.075, 2.947296
0.085, 2.950379
0.075, 2.953034
0.078, 2.956207
0.068, 2.957855
0.073, 2.959442
0.068, 2.960999
0.068, 2.962525
0.068, 2.964020
0.068, 2.965790
0.061, 2.967316
0.058, 2.968872
0.065, 2.970368
0.065, 2.973694
0.075, 2.976441
0.039, 2.978790
0.046, 2.981781
0.053, 2.984039
0.051, 2.986694
0.063, 2.989777
0.048, 2.995361
0.068, 2.997101
0.068, 2.998718
0.070, 3.000275
0.061, 3.001801
0.061, 3.003327
0.065, 3.005127
0.068, 3.006714
0.068, 3.008301
0.068, 3.009857
0.070, 3.012024
0.073, 3.015778
0.048, 3.017578
0.078, 3.019928
0.056, 3.022888
0.083, 3.025421
0.043, 3.027771
0.046, 3.031311
0.075, 3.034912
0.073, 3.036652
0.065, 3.038239
0.070, 3.039795
0.063, 3.041321
0.068, 3.042847
0.061, 3.044373
0.063, 3.046112
0.061, 3.047699
0.056, 3.049256
0.065, 3.050781
0.070, 3.054260
0.080, 3.056885
0.058, 3.059235
0.058, 3.062225
0.058, 3.064484
0.078, 3.067230
0.056, 3.070313
0.078, 3.072998
0.075, 3.076111
0.070, 3.077789
0.068, 3.079346
0.065, 3.080872
0.063, 3.082398
0.070, 3.083923
0.065, 3.085693
0.068, 3.087280
0.068, 3.088776
0.063, 3.090302
0.065, 3.094269
0.043, 3.096802
0.090, 3.099121
0.065, 3.102081
0.078, 3.104401
0.080, 3.106964
0.083, 3.110596
0.073, 3.113983
0.058, 3.117279
0.061, 3.119019
0.061, 3.120606
0.070, 3.122162
0.063, 3.123718
0.065, 3.125458
0.070, 3.127014
0.061, 3.128571
0.058, 3.130097
0.070, 3.133972
0.078, 3.136536
0.073, 3.138886
0.080, 3.141846
0.053, 3.144104
0.073, 3.146851
0.056, 3.149964
0.041, 3.153046
0.063, 3.155731
0.063, 3.157379
0.070, 3.158936
0.065, 3.160492
0.070, 3.162018
0.068, 3.163544
0.065, 3.165283
0.063, 3.166870
0.061, 3.168396
