Original Header:

Sensor Name: MCP9808_N2
Cow ID: 129
I2CAddress: 0x19
Sampling frequency: 1 Hz
Data Format: 
	T_0, t0
	T_1, t1
	...
	...
	...
	T_n, tn
	Where T is the temperature in single precision float format (32-bit). t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of a temperature and a timestamp, sequentially written to file. !@#

CSV Header:

The time is in seconds, subtracting off the startTime.
!@#
23.062, 586.000763
23.062, 587.001526
23.062, 588.001678
23.062, 588.997497
23.000, 589.997955
23.062, 590.997802
23.062, 591.999664
23.062, 592.997863
23.062, 594.000732
23.062, 595.000030
23.000, 596.000671
23.062, 597.014984
23.000, 598.000427
23.000, 599.017181
23.000, 600.017761
23.000, 601.017853
23.000, 602.017029
23.062, 603.018249
23.000, 604.005157
23.000, 605.005279
22.938, 606.005462
23.000, 607.007110
23.000, 608.005218
23.000, 608.994140
23.000, 609.993988
23.000, 610.993957
23.000, 611.993652
23.000, 612.994018
23.000, 613.994232
23.000, 614.994140
23.000, 615.994018
23.000, 616.994873
23.000, 617.993988
23.000, 618.994049
23.000, 619.993957
23.000, 620.994018
23.000, 621.994049
23.000, 622.994018
23.000, 623.994201
23.000, 624.993988
23.000, 625.994934
23.000, 626.994964
22.938, 627.993988
23.000, 629.020813
23.000, 630.020630
23.000, 631.021393
23.000, 632.020477
23.000, 633.020721
23.000, 633.993988
22.938, 634.994201
23.000, 635.994018
22.938, 636.994018
22.938, 637.993988
23.000, 638.993988
22.938, 639.994110
22.938, 640.993988
22.938, 641.994049
22.938, 642.994079
22.938, 644.002807
22.875, 645.002746
22.875, 646.002868
22.875, 647.002838
22.812, 648.002929
22.875, 649.010284
22.875, 650.007110
22.812, 651.010132
22.812, 652.007477
22.812, 653.007812
22.812, 654.015991
22.750, 655.016082
22.812, 656.016021
22.750, 657.015930
22.812, 658.015747
22.750, 659.020630
22.750, 660.020752
22.750, 661.020538
22.688, 662.020477
22.688, 663.020538
22.688, 663.994201
22.625, 664.994079
22.625, 665.994049
22.625, 666.994049
22.625, 667.994262
22.625, 668.994049
22.625, 669.993988
22.625, 670.994110
22.562, 671.993988
22.625, 672.994140
22.562, 674.002594
22.562, 675.004364
22.562, 676.004394
22.625, 677.004272
22.562, 678.004150
22.625, 679.013885
22.562, 680.014557
22.625, 681.014312
22.562, 682.013580
22.562, 683.014038
22.562, 684.011322
22.625, 685.011474
22.625, 686.010559
22.625, 687.004883
