volt, time
0.547, 1468260567.556030
0.542, 1468260567.557647
0.537, 1468260567.559204
0.540, 1468260567.560729
0.540, 1468260567.562225
0.525, 1468260567.563751
0.522, 1468260567.567718
0.564, 1468260567.570129
0.566, 1468260567.572509
0.554, 1468260567.575592
0.552, 1468260567.578063
0.581, 1468260567.580444
0.571, 1468260567.582275
0.579, 1468260567.586669
0.571, 1468260567.589508
0.576, 1468260567.591186
0.557, 1468260567.592773
0.547, 1468260567.594329
0.542, 1468260567.596130
0.542, 1468260567.597686
0.540, 1468260567.599243
0.530, 1468260567.600738
0.525, 1468260567.602294
0.530, 1468260567.603820
0.527, 1468260567.607299
0.571, 1468260567.609741
0.540, 1468260567.611511
0.564, 1468260567.613861
0.574, 1468260567.617095
0.566, 1468260567.619476
0.562, 1468260567.621795
0.537, 1468260567.625396
0.566, 1468260567.629058
0.576, 1468260567.630798
0.552, 1468260567.632385
0.544, 1468260567.633941
0.547, 1468260567.635711
0.542, 1468260567.637298
0.535, 1468260567.638824
0.535, 1468260567.640350
0.540, 1468260567.641845
0.525, 1468260567.643371
0.530, 1468260567.647583
0.549, 1468260567.650054
0.569, 1468260567.652252
0.527, 1468260567.654022
0.549, 1468260567.657318
0.566, 1468260567.659698
0.544, 1468260567.662017
0.532, 1468260567.666320
0.581, 1468260567.669372
0.571, 1468260567.672515
0.569, 1468260567.674194
0.557, 1468260567.675994
0.552, 1468260567.677581
0.544, 1468260567.679107
0.535, 1468260567.680633
0.530, 1468260567.682159
0.537, 1468260567.683685
0.547, 1468260567.687957
0.557, 1468260567.690368
0.557, 1468260567.692749
0.549, 1468260567.696014
0.549, 1468260567.698425
0.569, 1468260567.700683
0.566, 1468260567.703643
0.576, 1468260567.707122
0.586, 1468260567.709808
0.557, 1468260567.711456
0.552, 1468260567.713012
0.542, 1468260567.714538
0.549, 1468260567.716308
0.535, 1468260567.717895
0.530, 1468260567.719421
0.530, 1468260567.720947
0.525, 1468260567.722473
0.532, 1468260567.723999
0.537, 1468260567.727691
0.574, 1468260567.731353
0.554, 1468260567.734252
0.579, 1468260567.737426
0.542, 1468260567.739288
0.549, 1468260567.742218
